"yr","regcode","reg","loccode","loc","vcode","rep","yt","x25sl","x50sl","ui","t1","e1","mic","x25sl_star","ui_star","str_star","elg_star","rd_star","b_star","mic_star"
88,20,"EAS",35,"Tifton, GA",603,2,115,1.08,0.56,51.9,203,7.8,5.2,1.05,50.6,19.5,6.6,78.2,9,5.3
88,20,"EAS",35,"Tifton, GA",611,1,102,1.09,0.55,50.5,179,7.3,5.1,1.07,46.3,19.1,7.1,77.4,8.3,5
88,20,"EAS",35,"Tifton, GA",611,2,106,1.06,0.54,50.9,168,7.8,5.8,1.07,48.7,18.4,6.9,79.9,9.1,5.3
88,20,"EAS",35,"Tifton, GA",635,1,102,0.99,0.52,52.5,179,7,5.7,0.89,46.5,17.1,5.7,77.7,9.2,5.5
88,20,"EAS",35,"Tifton, GA",635,2,108,1.02,0.51,50,174,7,5.1,1.05,48.7,18.4,6.5,73.3,8.5,5
88,20,"EAS",35,"Tifton, GA",649,1,116,1.04,0.53,51,197,7,5.5,1.02,45.9,20.2,6.7,78,8.8,5.5
88,20,"EAS",35,"Tifton, GA",649,2,115,1.06,0.54,50.9,189,7,5.3,1.06,48.7,21.3,6.8,78.3,8.8,5.2
88,20,"EAS",35,"Tifton, GA",654,1,116,1.07,0.55,51.4,182,7.5,5.3,1.04,47.6,20.1,6.9,77.6,8.7,5.3
88,20,"EAS",35,"Tifton, GA",654,2,122,1.07,0.56,52.3,196,6.8,5.3,1.07,48.7,21.6,6.9,77.5,8.8,5.1
88,20,"EAS",35,"Tifton, GA",670,1,117,1.07,0.56,52.3,196,7,5.7,1.06,47.5,18.3,6.8,78.6,9.2,5.6
88,20,"EAS",35,"Tifton, GA",670,2,107,1.14,0.57,50,182,7,5.2,1.11,46.6,18.6,6.6,73.3,8.9,5.3
88,20,"EAS",35,"Tifton, GA",681,1,109,1.05,0.54,51.4,179,6.8,5.3,0.97,46.3,16.2,5.7,75.9,9,5.6
88,20,"EAS",35,"Tifton, GA",681,2,108,1.07,0.54,50.5,175,7,5.4,1.06,46.1,19,6.5,75.4,8.5,5
88,20,"EAS",35,"Tifton, GA",689,1,100,1.05,0.53,50.5,181,8.8,5.9,1.01,48.6,17.2,7.1,79.1,9.1,5.8
88,20,"EAS",35,"Tifton, GA",689,2,103,1.07,0.56,52.3,179,8.3,5.8,1.03,49.2,17.9,7.1,78.3,8.6,5.6
88,20,"EAS",35,"Tifton, GA",748,1,102,1.12,0.56,50,187,6.3,5.5,1.09,47.3,18.4,6.4,76.3,9,5.4
88,20,"EAS",35,"Tifton, GA",748,2,114,1.06,0.54,50.9,191,6.5,6,1.01,46.4,18.2,6.8,76.8,9,5.7
