"yr","regcode","reg","loccode","loc","vcode","rep","yt","x25sl","x50sl","ui","t1","e1","mic","uhm_mot","ui_mot","str_mpt","rd_mot","b_mot","mic_mot"
"85",20,"EAS",36,"Florence, SC","679",2,173,1.24,0.66,53,23.7,5.8,4.2,1.21,85,32,79.5,9.2,4.4
"85",20,"EAS",36,"Florence, SC","681",1,135,1.13,0.54,47,19.2,4.8,4.6,1.15,82,26,80,9,4.9
"85",20,"EAS",36,"Florence, SC","681",2,136,1.16,0.55,48,19.3,5.2,4.8,1.15,82,27,79,9.6,5.4
"85",20,"EAS",36,"Florence, SC","689",1,135,1.17,0.57,48,18.8,7,5.1,1.23,84,27,80,9.2,5
"85",20,"EAS",36,"Florence, SC","689",2,135,1.17,0.57,48,19,7.4,5.2,1.21,83,28,81.5,9,5.1
"85",20,"EAS",87,"Belle Mina, AL","80",1,137,1.14,0.54,47,18.8,6.8,4.2,1.14,82,24,78.5,8.8,4
"85",20,"EAS",87,"Belle Mina, AL","80",2,133,1.08,0.51,47,20.3,6.7,3.9,1.11,82,25,77.5,8.4,3.9
"85",20,"EAS",87,"Belle Mina, AL","450",1,139,1.08,0.51,48,19.5,6,4,1.08,83,24,76,8.6,4
"85",20,"EAS",87,"Belle Mina, AL","450",2,156,1.17,0.56,48,21.7,5.8,3.9,1.17,84,26,76.5,8.2,3.8
"85",20,"EAS",87,"Belle Mina, AL","513",1,136,1.07,0.49,46,18.8,5.9,4.6,1.13,84,23,75.5,9,4.7
"85",20,"EAS",87,"Belle Mina, AL","513",2,130,1.05,0.46,44,19.6,5.9,4,1.11,84,23,78.5,8.8,4
"85",20,"EAS",87,"Belle Mina, AL","570",1,153,1.15,0.55,48,21.2,6.2,3.7,1.19,84,24,79.5,8.8,3.7
"85",20,"EAS",87,"Belle Mina, AL","570",2,149,1.17,0.54,46,22.2,5.6,4.4,1.2,83,27,75,9.2,4.4
"85",20,"EAS",87,"Belle Mina, AL","574",1,143,1.11,0.48,44,19.8,5.9,3.6,1.15,82,23,78.5,9.6,3.3
"85",20,"EAS",87,"Belle Mina, AL","574",2,140,1.1,0.51,46,18.6,6.1,4.1,1.13,83,24,78.5,8.4,4.5
"85",20,"EAS",87,"Belle Mina, AL","575",1,139,1.1,0.52,48,17.9,5.6,4,1.16,85,24,78.5,8.2,3.9
"85",20,"EAS",87,"Belle Mina, AL","575",2,134,1.11,0.52,47,19.8,5.6,4.3,1.15,84,23,79.5,8,4.6
"85",20,"EAS",87,"Belle Mina, AL","593",1,173,1.19,0.6,50,22.4,5.9,3.7,1.2,84,27,79,9.4,4.1
"85",20,"EAS",87,"Belle Mina, AL","593",2,160,1.15,0.55,48,22.5,5.8,4.2,1.14,84,25,77.5,9,4.2
"85",20,"EAS",87,"Belle Mina, AL","603",1,146,1.14,0.55,48,20.1,6,3.8,1.14,83,24,79,9.2,3.7
"85",20,"EAS",87,"Belle Mina, AL","603",2,144,1.11,0.52,47,19.7,5.8,4.1,1.19,85,26,79,8.6,3.6
