"breeder","yr","reg","regcode","loc","loccode","var","varcode","rep","remarks","mic","mat","uhm","ui","sfc","str","elo","rd","hunterb","card_loss","yt"
"39-028","18","HIGH QUAL","072","FLORENCE","036","TAM 13Q-18","1566","2","""",3.97,0.84,1.2,85.1,6.8,29.15,8.4,70.3,7.9,"4.1980264258237128",99.6506107256703
"39-029","18","HIGH QUAL","072","FLORENCE","036","TAM KJ-Q14","1567","1","""",4.25,0.86,1.34,84.8,5.4,36.1,7.1,69.3,8.05,"5.0425780597762611",75.0900186304223
"39-030","18","HIGH QUAL","072","FLORENCE","036","TAM KJ-Q14","1567","2","""",3.54,0.84,1.31,85.8,6,36.55,7.5,72.8,7.75,"4.5936395759717259",64.512960388796
"39-033","18","HIGH QUAL","072","FLORENCE","036","PHY 440W3FE","1568","1","""",4.11,0.85,1.23,84.4,7.8,33.7,7.3,68.65,7.9,"3.7543801101284831",81.5417319663641
"39-034","18","HIGH QUAL","072","FLORENCE","036","PHY 440W3FE","1568","2","""",3.57,0.84,1.13,81,10.6,27.6,7.6,72.05,7.95,"3.5571142284569182",70.476494389151
"39-035","18","HIGH QUAL","072","FLORENCE","036","PHY 480W3FE","1569","1","""",4.31,0.85,1.18,86.3,6.8,29.75,8.5,69.5,8.45,"3.8377744260097186",62.1403021274236
"39-036","18","HIGH QUAL","072","FLORENCE","036","PHY 480W3FE","1569","2","""",3.6,0.83,1.15,84.8,7.4,27.4,8.8,75.1,7.3,"5.1441018766756041",56.8402957145096
"39-037","18","HIGH QUAL","072","FLORENCE","036","DC 180","1570","1","""",4.65,0.86,1.15,85.7,6.8,31.45,7.8,68.9,8.3,"4.5180722891566196",56.093602026476
"39-038","18","HIGH QUAL","072","FLORENCE","036","DC 180","1570","2","""",4.42,0.85,1.12,83.6,8.3,29.4,8.1,72.45,7.95,"2.5997150997150884",70.8468122306741
"39-039","18","HIGH QUAL","072","FLORENCE","036","DC 375","1571","1","""",4.67,0.86,1.14,85,6.6,30.7,7.7,64.7,7.8,"5.242070116861437",70.8254068607668
"39-040","18","HIGH QUAL","072","FLORENCE","036","DC 375","1571","2","""",3.64,0.83,1.02,83,8.7,27.35,8.1,75.75,7.1,"3.7675493157988349",71.0445812652918
"39-041","18","HIGH QUAL","072","FLORENCE","036","LA 14063001","1572","1","""",4.22,0.85,1.2,83.5,8,29.75,7.7,69.55,8,"3.7266042780748729",93.0047371738169
"39-042","18","HIGH QUAL","072","FLORENCE","036","LA 14063001","1572","2","""",3.64,0.83,1.15,83,8.8,28.7,8,72.7,8,"9.8786244099797695",71.1438718983852
"39-043","18","HIGH QUAL","072","FLORENCE","036","LA 14603038","1573","1","""",4.55,0.86,1.25,82.6,7.5,30.55,7.6,67.15,7.9,"8.7424344317417546",78.553230951089
"39-044","18","HIGH QUAL","072","FLORENCE","036","LA 14603038","1573","2","""",4.06,0.85,1.21,82.8,8.3,30.9,7.8,70.85,6.85,"4.5066175238733424",107.647129052105
"26-113","18","BLACKLD","160","COMMERCE","194","PHY 499WRF*","1404","1","NATL STD",5.01,0.86,1.03,82.9,10.3,29.4,8.7,59.1,7.8,"9.509306260575304",48.8245520907302
"26-114","18","BLACKLD","160","COMMERCE","194","PHY 499WRF*","1404","2","""",4.86,0.86,1.05,82.1,8.9,28.1,8.6,62.05,7.9,"7.249322493224934",59.9605625984177
"26-123","18","BLACKLD","160","COMMERCE","194","PHY 312WRF","1497","1",NA,5.06,0.87,1.09,83.4,8.6,28.25,7.9,59.9,8.2,NA,NA
"26-124","18","BLACKLD","160","COMMERCE","194","PHY 312WRF","1497","2","""",4.99,0.87,1.09,82.6,8.4,27.2,7.8,63.85,7.3,NA,NA
"26-125","18","BLACKLD","160","COMMERCE","194","FM 1830GLT","1503","1","""",5.02,0.88,1.1,81.1,9.6,28.75,6.9,63.15,6.7,NA,NA
"26-126","18","BLACKLD","160","COMMERCE","194","FM 1830GLT","1503","2","""",5.03,0.88,1.14,83.2,8.1,31.9,7,65.75,6.9,NA,NA
"26-115","18","BLACKLD","160","COMMERCE","194","DP 1646B2XF*","1516","1","""",4.92,0.86,1.16,81.4,9.3,28.75,8.4,64.25,6.9,"5.7432432432432527",58.7662050431193
"26-116","18","BLACKLD","160","COMMERCE","194","DP 1646B2XF*","1516","2","""",4.83,0.86,1.16,83,8.6,27.7,8.4,67.85,6.45,"5.9736753290583851",51.6904073878628
"26-117","18","BLACKLD","160","COMMERCE","194","NG 4545B2XF*","1535","1","""",5.02,0.87,0.97,81.1,10.5,24.9,7.1,60.05,7.7,"9.2483605179081891",52.5382343785763
"26-118","18","BLACKLD","160","COMMERCE","194","NG 4545B2XF*","1535","2","""",4.99,0.87,1.03,81.7,8.2,25.9,7.1,62.65,7.35,"5.6785533209396641",62.3317468349552
"26-119","18","BLACKLD","160","COMMERCE","194","PHY 764WRF*","1536","1","""",4.3,0.85,1.07,82.6,8.8,28.65,7.8,59.9,7.25,"7.9539685225926595",58.529844972831
"26-120","18","BLACKLD","160","COMMERCE","194","PHY 764WRF*","1536","2","""",4.41,0.85,1.04,82,9.4,28.75,8.1,61.15,7.35,"9.7765832353435247",51.8055504209352
"26-121","18","BLACKLD","160","COMMERCE","194","DP 1522B2XF","1537","1","REGL STD",5.07,0.86,1.05,82.3,9.4,27.1,8.8,62.2,7,NA,NA
"26-122","18","BLACKLD","160","COMMERCE","194","DP 1522B2XF","1537","2","""",5.06,0.86,1.05,82.6,9.6,27.75,9.1,61.55,6.95,NA,NA
"26-127","18","BLACKLD","160","COMMERCE","194","DG 3385B2XF","1551","1","""",5.11,0.87,1.05,84,8.6,25.65,8.5,58.95,8.5,NA,NA
"26-128","18","BLACKLD","160","COMMERCE","194","DG 3385B2XF","1551","2","""",5.1,0.87,1.03,82.5,8.5,27.15,8.4,61.3,8.05,NA,NA
"26-129","18","BLACKLD","160","COMMERCE","194","NG 4601B2XF","1552","1","""",5.04,0.87,1.08,82.4,9.8,29.2,7.8,61.6,6.5,NA,NA
"26-130","18","BLACKLD","160","COMMERCE","194","NG 4601B2XF","1552","2","""",5.47,0.88,1.09,81.1,9,30,7.8,65.9,6.9,NA,NA
