"breeder","yr","reg","regcode","loc","loccode","var","varcode","rep","remarks","mic","mat","uhm","ui","sfc","str","elo","rd","hunterb","card_loss","yt"
"87-018","18","EAST","020","BELLA MINA","087","NG 3522B2XF","1577","2","""",4.62,0.86,1.13,85.3,8.4,30.35,8.1,73.95,9.3,NA,NA
"87-019","18","EAST","020","BELLA MINA","087","ST 5471GLTP","1578","1","""",4.52,0.85,1.17,84.7,7.4,30.25,8.6,77.3,7.85,NA,NA
"87-020","18","EAST","020","BELLA MINA","087","ST 5471GLTP","1578","2","""",4.46,0.85,1.17,83.3,7.8,31,8.4,77.95,8.25,NA,NA
"90-001","18","EAST","020","GRIFFIN, GA","153","PHY 499WRF*","1404","1","NATL STD",4.55,0.85,1.09,82.9,8.3,29.85,8.8,65,7,NA,NA
"90-002","18","EAST","020","GRIFFIN, GA","153","PHY 499WRF*","1404","2","""",5.01,0.86,1.09,83.9,7.4,30.1,9.4,68.15,6.35,NA,NA
"90-011","18","EAST","020","GRIFFIN, GA","153","DP 1538B2XF","1510","1","""",4.76,0.86,1.09,84.7,7.6,27.6,8.7,68.9,7.2,NA,NA
"90-012","18","EAST","020","GRIFFIN, GA","153","DP 1538B2XF","1510","2","""",4.53,0.85,1.08,81.9,9.8,26.25,8.9,68.9,6.9,NA,NA
"90-003","18","EAST","020","GRIFFIN, GA","153","DP 1646B2XF*","1516","1","""",4.19,0.84,1.24,84,7.5,29.3,8.8,69.95,6.1,NA,NA
"90-004","18","EAST","020","GRIFFIN, GA","153","DP 1646B2XF*","1516","2","""",4.62,0.85,1.19,82.6,7.5,29.4,8.8,69.35,6.2,NA,NA
"90-005","18","EAST","020","GRIFFIN, GA","153","NG 4545B2XF*","1535","1","""",4.36,0.85,1.12,82.8,8.7,30.3,7.6,70.5,7,NA,NA
"90-006","18","EAST","020","GRIFFIN, GA","153","NG 4545B2XF*","1535","2","""",4.08,0.85,1.07,83,9.2,30.1,7.1,66.35,7.3,NA,NA
